Attention Is All You Need;1 Introduction;What are recurrent neural networks (RNNs) and long short-term memory (LSTM) used for?;Sequence modeling.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What limitation do RNNs and LSTMs have in terms of parallelization?;They have limitations in terms of parallelization.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What have been introduced to capture dependencies without distance constraints?;Attention mechanisms.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What does the Transformer model eliminate?;Recurrence.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What does the Transformer model rely on for global dependencies?;Attention mechanisms.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What are the significant capabilities of the Transformer model?;Significant parallelization capabilities.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;1 Introduction;What does the Transformer model achieve in terms of translation quality and training time?;State-of-the-art translation quality with shorter training time.;Attention-Is-All-You-Need 1-Introduction
Attention Is All You Need;2 Background;What are some models that aim to reduce sequential computation?;Extended Neural GPU, ByteNet, and ConvS2S.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;How do these models compute hidden representations?;Using convolutional neural networks in parallel.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;What issue does the Transformer face in relation to signals from distant positions?;A decrease in effective resolution.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;How does the Transformer address the decrease in effective resolution?;By using Multi-Head Attention.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;What is self-attention?;An attention mechanism that relates positions in a sequence.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;What tasks has self-attention been successfully used in?;Reading comprehension and summarization.;Attention-Is-All-You-Need 2-Background
Attention Is All You Need;2 Background;How does the Transformer differ from other models?;It relies entirely on self-attention, without using RNNs or convolution.;Attention-Is-All-You-Need 2-Background
